they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
a minimum wage increase | increase |  | be early priority for | be priority for | organized labor | labor | 
Mark de Bernardo | Mark de Bernardo | person:Stanford | be labor manager for | be labor manager for | the United States Chamber of Commerce | United States Chamber | organization:Stanford
the United States Chamber of Commerce | United States Chamber | organization:Stanford | opposes | oppose | such an increase | increase | 
Mark de Bernardo | Mark de Bernardo | person:Stanford | are right now against | be against | us | we | person:Pronoun
the odds | odds |  | are right now against | be against | us | we | person:Pronoun
the minimum wage issue | issue |  | is suddenly raising | be raise | pulse rates | rate | 
the minimum wage issue | issue |  | is suddenly raising pulse rates in | be raise pulse rate in | Washington | Washington | location:Stanford
The Massachusetts Democrat | Massachusetts Democrat | location:Stanford | is widely considered | be consider | one of labor 's staunchest allies | ally | organization:WordNet
the Senator | Senator |  | will be | be | a torchbearer | torchbearer | leader:WordNet,person:WordNet
the Senator | Senator |  | will be a torchbearer for | be torchbearer for | their cause | cause | 
Robert McGlotten | Robert McGlotten | person:Stanford | be chief lobbyist of | be lobbyist of | the American Federation of Labor | American Federation | organization:Stanford
We | We | person:Pronoun | 'll give it | give | a review | review | 
a California Democrat | California Democrat | location:Stanford | is chairman of | be chairman of | the House Education and Labor Committee . Mr. Hawkins | House Education | organization:Stanford
The case | case |  | has also been helped by | be help by | the growing debate | debate | 
the Government | Government | organization:WordNet | can find | find | jobs | job | activity:WordNet
they | they | person:Pronoun | do n't raise | raise | the earnings of the working poor | earnings | amount:WordNet
Sar Levitan | Sar Levitan | person:Stanford | be director of | be director of | the Center of Social Policy Studies | Center | organization:Stanford
Sar Levitan | Sar Levitan | person:Stanford | be director of the Center of Social Policy Studies at | be director of Center of Social Policy Studies at | George Washington University | George Washington University | organization:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | has steadfastly objected to | object to | any such move | move | 
the President | President |  | talked of | talk of | his own first job experience | experience | 
any Government programs that made the employer | program |  | have to hire | to hire | an auditor | auditor | person:WordNet
any Government programs that made the employer | program |  | have deduct from | deduct from | my paycheck | paycheck | 
He | He | person:Pronoun | could just reach in | reach in | his pocket | pocket | 
He | He | person:Pronoun | could just reach at | reach at | the end of the week | end | location:WordNet
he | he | person:Pronoun | owed | owe | me | I | person:Pronoun
He | He | person:Pronoun | hand | hand | it | it | 
He | He | person:Pronoun | hand it to | hand to | me | I | person:Pronoun
He | He | person:Pronoun | hand it in | hand in | cash | cash | 
He | He | person:Pronoun | would n't give up | give up | that experience I had for anything in the world | anything | 
I | I | person:Pronoun | would n't give up | give up | that experience I had for anything in the world | anything | 
I | I | person:Pronoun | had for | for | anything | anything | 
Congress | Congress | organization:Stanford | last dealt with | deal with | the minimum wage issue | issue | 
it | it |  | passed | pass | a series of four increases | increase | 
The cost of living | cost |  | has gone up by | go up by | almost 20 percent | percent | percent:Stanford
New York City | New York City | location:Stanford | be a family of | be family of | three | three | number:NUM
This increase | increase |  | may lead | lead | a company | company | organization:WordNet
they | they | person:Pronoun | raise | raise | the minimum wage | wage | 
it | it |  | 's caused | be cause | some unemployment | unemployment | 
Rick Berman | Rick Berman | person:Stanford | be executive vice president of | be vice president of | S & A Corporation | S | organization:Stanford
The minimum wage | wage |  | may indeed cause | cause | a loss of jobs | loss | 
they | they | person:Pronoun | see | see | its positive aspects | aspect | 
they | they | person:Pronoun | see its positive aspects outweighing | see aspect outweighing | this loss | loss | 
they | they | person:Pronoun | see its positive aspects for | see aspect for | example | example | 
Mr. Levitan | Mr. Levitan | person:Stanford | explained of | explain of | them | they | person:Pronoun
they | they | person:Pronoun | prefer | prefer | self-sufficiency | self-sufficiency | 
employers | employer | leader:WordNet,person:WordNet | hire | hire | teen-agers | teen-agers | 
employers | employer | leader:WordNet,person:WordNet | hire teen-agers for summer jobs than | hire teen-agers for summer job than | the $ 3.35 minimum | minimum | money:Stanford
The idea of such a subminimum wage | idea |  | is backed by | be back by | conservative economists who theorize that employers will create new jobs and that youths | economist | person:WordNet
employers | employer | leader:WordNet,person:WordNet | will create | create | new jobs and that youths | job | activity:WordNet
We | We | person:Pronoun | can now tackle | tackle | the issue raising the minimum wage on its merits | wage | 
Brooklyn vs. Pawtucket '' (editorial | Brooklyn | location:Stanford | was | be | no holiday gift | gift | 
Brooklyn vs. Pawtucket '' (editorial | Brooklyn | location:Stanford | was no holiday gift to | be holiday gift to | Brooklyn | Brooklyn | location:Stanford
no holiday gift | gift |  | to unwrap | to unwrap | the three-volume technical study prepared by Pratt Institute and private economic consultants for the State Urban Development Corporation | study | activity:WordNet
the three-volume technical study | study | activity:WordNet | be prepared by | be prepare by | Pratt Institute and private economic consultants | Pratt Institute | organization:Stanford
you | you | person:Pronoun | would have found | find | Revenues a 17,000-seat baseball park , were estimated to exceed operating expenses by at least $ 750,000 a year | park | location:WordNet
the study | study | activity:WordNet | proposed | propose | two separate facilities to serve the youth of Brooklyn | youth | person:WordNet
many of Brookly n 's 11 institutions of higher learning and several of our high schools | institution | organization:WordNet | are playing first-rate sports schedules without | be play sport schedule without | proper athletic facilities | facility | 
It | It |  | would be | be | infeasible and wasteful of taxpayer money | money | 
It | It |  | would be infeasible for | be for | each college and high school | college | 
It | It |  | be wasteful of | be of | taxpayer money | money | 
The shared multipurpose arena and field | arena |  | be proposed for | be propose for | Coney Island | Coney Island | location:Stanford
The shared multipurpose arena and field proposed for Coney Island | arena |  | offers | offer | Brooklyn students and Brooklyn educational institutions | student | person:WordNet
Your concern regarding fan interest in a professional baseball team | interest |  | is not shared by | be share by | the owners of the American Association | owner | person:WordNet
both leagues | league | organization:WordNet | have stated | state | their desire | desire | 
The New York Times | New York Times | organization:Stanford | founded in | found in | 1851 | 1851 | number:NUM,time_unit:Stanford
the Brooklyn Excelsiors | Brooklyn Excelsiors | location:Stanford,person:Stanford | to fight together | to fight | the Civil War | Civil War | 
whose members | member | person:WordNet | to fight together | to fight | the Civil War | Civil War | 
they | they | person:Pronoun | played at | play at | home which we know as baseball | home | location:WordNet
they | they | person:Pronoun | played in | play in | home which we know as baseball | home | location:WordNet
You | You | person:Pronoun | could have chosen | choose | business community to develop a properly scaled sports complex in Brooklyn | Brooklyn | location:Stanford
You | You | person:Pronoun | to support | to support | the efforts of the state | effort | activity:WordNet
Not all projects | project | activity:WordNet | must be on | be on | the colossal scale of the Javits Convention Center | Javits Convention Center | 
the escalating costs | cost |  | be involved in | be involve in | Yankee and Shea Stadiums | Yankee | location:Stanford,organization:Stanford
a question | question |  | be raised by | be raise by | your editorial | editorial | 
Babe Ruth | Babe Ruth | person:Stanford | was | be | the property of the Boston Red Sox organization | property | 
Babe Ruth | Babe Ruth | person:Stanford | was the property of | be property of | the Boston Red Sox organization | organization | organization:WordNet
Babe Ruth | Babe Ruth | person:Stanford | was the property of the of | be property of of | Boston Red Sox organization | organization | organization:WordNet
What real baseball fan | fan | device:WordNet | would not have paid | pay | a fraction of the major-league ticket price | price | 
him | he | person:Pronoun | play for | play for | the Pawtucket Red Sox | Pawtucket Red Sox | organization:Stanford
The War Power of Congress in History and Law , '' by Edwin B. Firmage , a professor of law at the University of Utah , and Francis D. Wormuth , Distinguished Professor of Poitical Science | War Power |  | be recently published by | be publish by | Southern Methodist University Press | Southern Methodist University Press | organization:Stanford
The modern shift | shift |  | raises | raise | weighty practical questions | question | 
the first question | question |  | requires analyzing | require analyze | the nature of war | nature | 
the first question | question |  | requires analyzing the nature of war in | require analyze nature of war in | the nuclear age | age | 
secrecy and dispatch , inherent in the Presidency , or deliberation and debate | dispatch |  | be hallmarks of | be hallmark of | Congress | Congress | organization:Stanford
the second question | question |  | requires scrutinizing | require scrutinize | the various ways Congress might reassert itself - the most fundamental , legitimate and ultimately effective of which is impeachment . . . | Congress | organization:Stanford
Congress | Congress | organization:Stanford | might reassert | reassert | itself | itself | 
a nuclear attack | attack | activity:WordNet | is under | be under | way | way | 
the threat of retaliation | threat |  | is essential to | be to | effective deterrence | deterrence | 
actual retaliation | retaliation |  | would ever be | be | a rational course of conduct | course | activity:WordNet
actual retaliation | retaliation |  | would ever be a rational course of | be course of | conduct | conduct | activity:WordNet
Sharp-eyed frequenters of Pennyslvania Avenue | frequenter | person:WordNet | have noticed lately | notice | This slender columned landmark decorated with dolphins and topped with a heron | landmark | location:WordNet
the Cogswell Fountain | Cogswell Fountain | organization:Stanford | is missing from | be miss from | the triangle | triangle | 
the Cogswell Fountain | Cogswell Fountain | organization:Stanford | is missing at | be miss at | Seventh Street N.W. | Seventh Street N.W. | organization:Stanford,location:Stanford
it | it |  | has occupied since | occupy since | 1882 | 1882 | time_unit:Stanford,number:NUM
This slender columned landmark | landmark | location:WordNet | be decorated with | be decorate with | dolphins | dolphin | animal:WordNet,fish:WordNet
the fountain | fountain | structure:WordNet | had been dismantled there as | be dismantle as | part of plaza reconstruction | reconstruction | time_period:WordNet
Its metal work | work | activity:WordNet | is being refurbished in | be be refurbish in | Alabama | Alabama | location:Stanford
it | it |  | will feature running | feature run | water | water | substance:WordNet
it | it |  | will feature running water for | feature run water for | the first time | time | 
This limitation | limitation |  | should not dismay | dismay | members of the Cogswell Society | member | person:WordNet
a group of neighborhood Government employees | employee | person:WordNet | formed WASHINGTON TALK : BRIEFING in | form WASHINGTON TALK : BRIEFING in | 1972 | 1972 | time_unit:Stanford,number:NUM
a group of neighborhood Government employees | employee | person:WordNet | formed | form | WASHINGTON TALK | WASHINGTON TALK | location:Stanford
a group of neighborhood Government employees | employee | person:WordNet | ostensibly dedicated to | dedicate to | study of man 's excesses and the lack of temperance | study | activity:WordNet
they | they | person:Pronoun | stood on | stand on | one leg | leg | 
they | they | person:Pronoun | raised | raise | their glasses | glass | 
Postmaster General Preston R. Tisch | Postmaster General Preston R. Tisch | person:Stanford | said in | say in | today | today | time_unit:Stanford
he | he | person:Pronoun | made | make | no guarantees | guarantee | 
he | he | person:Pronoun | made no guarantees for | make guarantee for | 1988 | 1988 | time_unit:Stanford,number:NUM
Mr. Tisch | Mr. Tisch | person:Stanford | said | say | The rate | rate | 
the Postal Service 's board of governors | governor | leader:WordNet,person:WordNet | would be studying | be study | rates | rate | 
The rate | rate |  | went to | go to | 22 cents | cent | money:Stanford
The rate | rate |  | went in | go in | 1985 | 1985 | time_unit:Stanford,number:NUM
The rate | rate |  | went after | go after | three years | year | time_period:WordNet,time_unit:Stanford
a long process | process | activity:WordNet | taking 12 to | take to | 16 months | month | time_period:WordNet
any increase | increase |  | could go into | go into | effect | effect | effect:WordNet
the earliest any increase could go into effect | increase |  | would be | be | 1988 | 1988 | time_unit:Stanford,number:NUM
a long process taking 12 to 16 months , so the earliest any increase could go into effect would be 1988 | process | activity:WordNet | said at | say at | a news conference | conference | 
a long process taking 12 to 16 months , so the earliest any increase could go into effect would be 1988 | process | activity:WordNet | said to | say to | a news conference | conference | 
a long process taking 12 to 16 months , so the earliest any increase could go into effect would be 1988 | process | activity:WordNet | said in | say in | a news conference | conference | 
a long process taking 12 to 16 months , so the earliest any increase could go into effect would be 1988 | process | activity:WordNet | said after | say after | the meeting of the Postal Service 's board | board | organization:WordNet
Mr. Tisch | Mr. Tisch | person:Stanford | said at | say at | a news conference | conference | 
Mr. Tisch | Mr. Tisch | person:Stanford | said to | say to | a news conference | conference | 
Mr. Tisch | Mr. Tisch | person:Stanford | said in | say in | a news conference | conference | 
Mr. Tisch | Mr. Tisch | person:Stanford | said after | say after | the meeting of the Postal Service 's board | board | organization:WordNet
the agency | agency | organization:WordNet | finished in | finish in | the fiscal year 1986 | year | time_period:WordNet,time_unit:Stanford
the agency | agency | organization:WordNet | finished with | finish with | a surplus of $ 304 million | surplus | 
the agency | agency | organization:WordNet | finished rebounding from | finish rebound from | a loss of $ 251 million | loss | 
the agency | agency | organization:WordNet | finished rebounding in | finish rebound in | 1985 | 1985 | time_unit:Stanford,number:NUM
He | He | person:Pronoun | attributed | attribute | the surplus | surplus | 
He | He | person:Pronoun | attributed the surplus to cost | attribute surplus to cost | controls | control | 
the Postal Service | Postal Service | organization:Stanford | handled | handle | a record 147.4 billion pieces of mail | piece | 
the Postal Service | Postal Service | organization:Stanford | handled of | handle of | mail | mail | 
the Postal Service | Postal Service | organization:Stanford | handled a record 147.4 billion pieces of mail in | handle record piece of mail in | last year | year | time_period:WordNet
John N. Greisemer of Springfield | John N. Greisemer | person:Stanford | was elected | be elect | chairman | chairman | leader:WordNet,person:WordNet
He | He | person:Pronoun | succeeds | succeed | John R. McKean | John R. McKean | person:Stanford
Oliver L. North | Oliver L. North | person:Stanford | may have falsified | falsify | information | information | 
Oliver L. North | Oliver L. North | person:Stanford | may have falsified information on the secret arms sales to | falsify information on arm sale to | Iran | Iran | location:Stanford
it | it |  | sold in | sell in | last year | year | time_period:WordNet
it | it |  | sold to | sell to | the C.I.A. | C.I.A. | organization:Stanford
the C.I.A. | C.I.A. | organization:Stanford | later sent the weapons to | send weapon to | Iran | Iran | location:Stanford
The State Department | State Department | organization:Stanford | lost | lose | track | track | location:WordNet
The State Department | State Department | organization:Stanford | lost track in | lose track in | nonlethal aid | aid | 
The State Department | State Department | organization:Stanford | lost track | lose track | nonlethal aid | aid | 
The State Department | State Department | organization:Stanford | lost track for | lose track for | Nicaraguan rebels | rebel | person:WordNet
it | it |  | solicited from | solicit from | the Sultan of Brunei | Sultan | 
Iran | Iran | location:Stanford | has held | hold | two American citizens | citizen | person:WordNet
Iran | Iran | location:Stanford | have been denied | be deny | all diplomatic access | access | 
Iran | Iran | location:Stanford | have been denied all diplomatic access in the months since | be deny access in month since | their arrests | arrest | 
the Senate | Senate | organization:Stanford | voted | vote | 88 | 88 | number:NUM
the Senate | Senate | organization:Stanford | voted 88 to 4 to investigate | vote to to investigate | the Iran-contra arms affair | affair | 
the Senate | Senate | organization:Stanford | to investigate | to investigate | the Iran-contra arms affair | affair | 
The House | House | organization:Stanford | took | take | the first step | step | 
A French strike | strike |  | spread from | spread from | the country 's railroads | railroad | business:WordNet,organization:WordNet
A French strike | strike |  | spread to | spread to | its state-run electrical power company and the Paris subway | company | organization:WordNet
A French strike | strike |  | spread heightening | spread heighten | a contest of wills | contest | 
West Germany 's Green Party | Green Party | organization:Stanford | seems 25 to be enjoying | seem to be enjoy | a surge of support | surge | 
West Germany 's Green Party | Green Party | organization:Stanford | seems | seem | 25 | 25 | time_unit:Stanford,number:NUM
it | it |  | be campaigns for | be campaign for | the parliamentary elections of Jan | election | 
Cardinal O'Connor | Cardinal O'Connor | person:Stanford | defended | defend | his visit | visit | 
he | he | person:Pronoun | did not violate | violate | Vatican guidelines | guideline | 
The Cardinal | Cardinal |  | arrived in | arrive in | Rome | Rome | location:Stanford
The Cardinal | Cardinal |  | arrived | arrive | Rome | Rome | location:Stanford
Jordan 's Christian population | population |  | plays | play | a role | role | activity:WordNet
Afghan guerrillas | guerrilla | person:WordNet | offered to negotiate directly with | offer to negotiate with | Moscow | Moscow | location:Stanford
Afghan guerrillas | guerrilla | person:WordNet | offered to negotiate directly for | offer to negotiate for | a truce and a withdrawal of Soviet troops | withdrawal | 
Afghan guerrillas | guerrilla | person:WordNet | to negotiate directly with | to negotiate with | Moscow | Moscow | location:Stanford
Afghan guerrillas | guerrilla | person:WordNet | to negotiate directly for | to negotiate for | a truce and a withdrawal of Soviet troops | withdrawal | 
Soviet leaders | leader | person:WordNet,leader:WordNet | opened | open | talks | talk | 
China 's official paper | paper | substance:WordNet | attacked | attack | the spread of ''bourgeois liberalism | spread | 
local administrators | administrator | leader:WordNet,person:WordNet | agree to desegregate | agree to desegregate | them | they | person:Pronoun
local administrators | administrator | leader:WordNet,person:WordNet | agree under | agree under | the terms of a threat | threat | 
he | he | person:Pronoun | is incapacitated after | be incapacitate after | brain surgery | surgery | 
no spread of the colon cancer | spread |  | found in | find in | 1985 | 1985 | time_unit:Stanford,number:NUM
Mr. Reagan | Mr. Reagan | person:Stanford | is recovering from | be recover from | prostate surgery | surgery | 
The 100th Congress | Congress | organization:Stanford | convened mixing | convene mix | ceremony and substance | ceremony | 
Democrats | Democrats |  | control | control | the Senate | Senate | organization:Stanford
Democrats | Democrats |  | control the Senate for | control Senate for | the first time | time | 
Richard Lugar | Richard Lugar | person:Stanford | defeated | defeat | Jesse Helms | Jesse Helms | person:Stanford
Displaced aides | aide | person:WordNet | continued | continue | their frantic job hunt | hunt | person:WordNet
the Dupont Plaza hotel | hotel | building:WordNet,structure:WordNet | burned on | burn on | New Year 's Eve | Eve | 
a train and three Conrail locomotives | train |  | crashed in | crash in | Sunday | Sunday | time_unit:Stanford,time_unit:Day
A hunter | hunter | person:WordNet | fired at | fire at | a jet | jet | 
A hunter who fired at a jet | hunter | person:WordNet | was charged in | be charge in | Raleigh | Raleigh | location:Stanford
A hunter who fired at a jet | hunter | person:WordNet | was charged with | be charge with | destruction of an aircraft | destruction | 
a Federal violation | violation | activity:WordNet | to have shot a passenger at | to shoot passenger at | a United Airlines jet | jet | 
A spy | spy | person:WordNet | compromised | compromise | than 1,000 classified documents most of them marked top secret | document | 
most of them | they | person:Pronoun | marked | mark | top secret | secret | 
The spy | spy | person:WordNet | is | be | a former American Navy analyst | analyst | person:WordNet
the Dow Jones industrial average | average |  | closed with | close with | a rise of only 3.51 points | rise | 
Air Force | Air Force | organization:Stanford | to cut | to cut | fighter units | unit | 
they | they | person:Pronoun | cannot identify | identify | any members of the gang of white assailants | member | person:WordNet
white assailants | assailant | person:WordNet | took part in | take part in | the racial assault of three blacks | assault | 
The driver of the car | driver |  | said in | say in | an interview | interview | 
The driver of the car | driver |  | said | say | an interview | interview | 
The driver of the car | driver |  | said of | say of | he | he | person:Pronoun
he | he | person:Pronoun | did not know until | know until | than 12 hours | hour | time_unit:WordNet
he | he | person:Pronoun | had hit | hit | a person | person | person:WordNet
The wife of Baby M 's father | wife | person:WordNet | told Mary Beth Whitehead , | tell Mary Beth Whitehead , | the court of a tearful and dramatic appeal | appeal | 
The wife of Baby M 's father | wife | person:WordNet | told Mary Beth Whitehead , by | tell Mary Beth Whitehead , by | the child 's surrogate mother | mother | person:WordNet
The wife of Baby M 's father | wife | person:WordNet | told the court of a tearful and dramatic appeal by | tell court of appeal by | the child 's surrogate mother | mother | person:WordNet
The wife of Baby M 's father | wife | person:WordNet | told the court of a tearful and dramatic appeal | tell court of appeal | Mary Beth Whitehead | Mary Beth Whitehead | person:Stanford
The wife of Baby M 's father | wife | person:WordNet | told Mary Beth Whitehead , for | tell Mary Beth Whitehead , for | a reunion | reunion | 
The wife of Baby M 's father | wife | person:WordNet | told the court of a tearful and dramatic appeal for | tell court of appeal for | a reunion | reunion | 
a Brooklyn judge | judge | person:WordNet | rejected | reject | the claims of a grandson of a Hasidic rabbi | claim | 
a Brooklyn judge | judge | person:WordNet | awarded instead | award | the valuable library | library | structure:WordNet
a Brooklyn judge | judge | person:WordNet | awarded the valuable library instead to | award library to | the Lubavitch community | community | 
Epiphany | Epiphany | person:Stanford | marked by | mark by | parade | parade | 
Donald J. Phillips | Donald J. Phillips | person:Stanford | says in | say in | the view of Mr. Phillips | view | 
Donald J. Phillips | Donald J. Phillips | person:Stanford | says to | say to | the view of Mr. Phillips | view | 
he | he | person:Pronoun | has already seen | see | the worst three years | year | time_period:WordNet
the company | company | organization:WordNet | pares | pare | operating expenses | expense | 
the company | company | organization:WordNet | expands | expand | its non-nickel activity | activity | activity:WordNet
Mr. Phillips | Mr. Phillips | person:Stanford | will retain | retain | the post of president | post | location:WordNet
Mr. Phillips | Mr. Phillips | person:Stanford | be the post of | be post of | president | president | executive:WordNet,person:WordNet,leader:WordNet
The 57-year-old Mr. Phillips | Mr. Phillips | person:Stanford | has seen | see | numerous changes | change | 
The 57-year-old Mr. Phillips | Mr. Phillips | person:Stanford | has seen numerous changes at | see change at | Inco | Inco | organization:Stanford
Inco | Inco | location:Stanford,organization:Stanford | produced | produce | 85 percent of the world 's nickel | nickel | substance:WordNet
Inco | Inco | location:Stanford,organization:Stanford | produced 85 percent of the world 's nickel with | produce percent of world 's nickel with | sole control | control | 
Inco | Inco | location:Stanford,organization:Stanford | has been stymied by | be stymie by | stiff competition | competition | 
Inco | Inco | location:Stanford,organization:Stanford | controls | control | about 30 percent of the non-Communist world market | market | activity:WordNet
Inco | Inco | location:Stanford,organization:Stanford | controls of | control of | the non-Communist world market | market | activity:WordNet
the company | company | organization:WordNet | lost $ 1 billion from | lose $ from | 1981 | 1981 | time_unit:Stanford,number:NUM
the company | company | organization:WordNet | lost $ 1 billion to | lose $ to | 1984 | 1984 | time_unit:Stanford,number:NUM
the company which lost $ 1 billion from 1981 to 1984 | company | organization:WordNet | has narrowed | narrow | its losses | loss | 
We | We | person:Pronoun | 've had in | have in | the roughest three years | year | time_period:WordNet
We | We | person:Pronoun | 've come through | have come through | it | it | 
We | We | person:Pronoun | 've come in | have come in | good shape | shape | 
we | we | person:Pronoun | 've come through | have come through | it | it | 
we | we | person:Pronoun | 've come in | have come in | good shape | shape | 
Mr. Phillips | Mr. Phillips | person:Stanford | said of | say of | We | We | person:Pronoun
We | We | person:Pronoun | 'll still have to have | to | some productivity improvements , cost control and selective marketing | improvement | 
We | We | person:Pronoun | to have | to | some productivity improvements , cost control and selective marketing | improvement | 
He | He | person:Pronoun | added of | add of | he | he | person:Pronoun
He | He | person:Pronoun | added of | add of | We | We | person:Pronoun
He | He | person:Pronoun | added of | add of | we | we | person:Pronoun
he | he | person:Pronoun | would like | like | the company to expand its activity in gold | gold | 
the company | company | organization:WordNet | would seek to expand | seek to expand | its alloy product businesses which make components for the aerospace , marine and energy markets | business | business:WordNet,organization:WordNet
the company | company | organization:WordNet | to expand | to expand | its alloy product businesses which make components for the aerospace , marine and energy markets | business | business:WordNet,organization:WordNet
Mr. Phillips | Mr. Phillips | person:Stanford | has been president of | be president of | Inco | Inco | organization:Stanford
Mr. Phillips | Mr. Phillips | person:Stanford | has been Inco 's president since | be Inco 's president since | 1980 | 1980 | time_unit:Stanford,number:NUM
Inco 's president | president | executive:WordNet,person:WordNet,leader:WordNet | Previously served as | serve as | chairman and chief officer of Inco Europe Ltd. | officer | person:WordNet
Inco 's president | president | executive:WordNet,person:WordNet,leader:WordNet | Previously served | serve | He | He | person:Pronoun
Inco 's president | president | executive:WordNet,person:WordNet,leader:WordNet | be chairman of | be chairman of | Inco Europe Ltd. | Inco Europe Ltd. | organization:Stanford
he | he | person:Pronoun | be chairman of | be chairman of | Inco Europe Ltd. | Inco Europe Ltd. | organization:Stanford
Inco Europe Ltd. | Inco Europe Ltd. | organization:Stanford | be the company 's subsidiary in | be company 's subsidiary in | Britain | Britain | location:Stanford
He | He | person:Pronoun | joined | join | the company | company | organization:WordNet
He | He | person:Pronoun | joined the company in | join company in | 1956 | 1956 | time_unit:Stanford,number:NUM
He | He | person:Pronoun | joined the company | join company | 1956 | 1956 | time_unit:Stanford,number:NUM
He | He | person:Pronoun | joined the company as | join company as | a technical officer | officer | person:WordNet
last winter | winter | time_unit:Stanford,time_period:WordNet | was | be | a knock | knock | 
last winter | winter | time_period:WordNet,time_unit:Stanford | was a knock at | be knock at | the door of Robert and Patricia Kraus 's little 130-year-old country house | door | structure:WordNet
it | it |  | were from | be from | the Eastman Kodak Company | Eastman Kodak Company | organization:Stanford
Mr. Kraus | Mr. Kraus | person:Stanford | grew up in | grow up in | Manhattan | Manhattan | location:Stanford
Mr. Kraus | Mr. Kraus | person:Stanford | grew up on | grow up on | West 78th Street | West 78th Street | 
Mr. Kraus | Mr. Kraus | person:Stanford | is now an administrator at | be administrator at | the University of Rochester | University | organization:Stanford
They | They | person:Pronoun | took | take | their photographs | photograph | 
They | They | person:Pronoun | later told | tell | the Krauses | Krauses | person:Stanford
their home | home | location:WordNet | would be | be | the Colorama Christmas attraction | attraction | 
their home | home | location:WordNet | would be the Colorama Christmas attraction in | be Colorama Christmas attraction in | Grand Central Terminal | Grand Central Terminal | location:Stanford
The color transparency | transparency |  | went up in | go up in | the station | station | 
The color transparency | transparency |  | went up above | go up above | the Chemical Bank Commuter Express | Chemical Bank Commuter Express | organization:Stanford
The color transparency | transparency |  | went up on | go up on | Dec. 15 | Dec. | time_unit:Stanford
The color transparency | transparency |  | is to remain through | be to remain through | Jan . 25 | Jan | time_unit:Stanford
The color transparency | transparency |  | to remain through | to remain through | Jan . 25 | Jan | time_unit:Stanford
Mr. Kraus | Mr. Kraus | person:Stanford | has been told by | be tell by | 652,000 people | 652,000 | number:NUM
many people | people | person:People | would drive past | drive past | his house | house | structure:WordNet,building:WordNet
his Vericolor house | house | structure:WordNet,building:WordNet | went up in | go in | Grand Central | Grand Central | location:Stanford
he | he | person:Pronoun | to visit | to visit | it | it | 
The photographed house | house | structure:WordNet,building:WordNet | be bathed in | be bath in | a golden glow | glow | 
The photographed house bathed in a golden glow | house | structure:WordNet,building:WordNet | took away | take | his breath | breath | 
he | he | person:Pronoun | took | take | a picture of the picture | picture | 
he | he | person:Pronoun | got as | get as | big a kick | kick | 
he | he | person:Pronoun | heard | hear | ''It 's my house | house | structure:WordNet,building:WordNet
Mr. Kraus | Mr. Kraus | person:Stanford | burst out | burst out | restraint no longer possible | restraint | activity:WordNet
''It 's my house | house | structure:WordNet,building:WordNet | flashed him | flash | a nervous you-must-be-mad smile | smile | 
Dinorah Spalding | Dinorah Spalding | person:Stanford | arises in | arise in | her West Side flat | flat | 
Dinorah Spalding | Dinorah Spalding | person:Stanford | gets dressed for | get dress for | work | work | activity:WordNet
It | It |  | is | be | the first time she has put on an outfit | time | 
she | she | person:Pronoun | has put on | put on | an outfit she recently bought | outfit | organization:WordNet
husband | husband | person:WordNet | tells | tell | her | she | person:Pronoun
Ed | Ed | person:Stanford | tells | tell | her | she | person:Pronoun
your shoes | shoe |  | do n't match | match | anything you 're wearing | anything | 
you | you | person:Pronoun | come from | come from | Maine | Maine | location:Stanford
she | she | person:Pronoun | heads for | head for | her office | office | structure:WordNet
She | She | person:Pronoun | is about | be about | a block | block | 
she | she | person:Pronoun | passes | pass | a construction site | site | location:WordNet
she | she | person:Pronoun | gets to | get to | her office | office | structure:WordNet
I | I | person:Pronoun | write this Standing at | write Standing at | the bus stop | stop | 
The end of my spiral pad 's coil | end | location:WordNet | Is pulling at | Is pull at | the yarn of my sweater | yarn | 
Gorgeous changes | change |  | Has tugged | Has tug | a loop | loop | device:WordNet
Gorgeous changes | change |  | has only begun | begin | LEWIS GARDNER Dept . of Love | LEWIS GARDNER Dept | location:Stanford
the day | day | time_unit:WordNet | has only begun | begin | LEWIS GARDNER Dept . of Love | LEWIS GARDNER Dept | location:Stanford
one | one | number:NUM | had been placed under | be place under | a windshield | windshield | 
it | it |  | 's | be | Saks | Saks | 
Readers who have written to Diary about the bus | Readers | person:WordNet | refer to | refer to | it | it | 
Readers who have written to Diary about the bus | Readers | person:WordNet | refer in | refer in | delight and amazement | delight | 
Readers who have written to Diary about the bus | Readers | person:WordNet | refer as | refer as | the Love Bus | Love Bus | 
I | I | person:Pronoun | boarded | board | the bus which was driven by a young blond man with a dimple and a smile | bus | 
His hand | hand |  | covered | cover | the fare box | box | 
He | He | person:Pronoun | looked at | look at | me | I | person:Pronoun
He | He | person:Pronoun | looked to | look to | me | I | person:Pronoun
Everyone boarding the bus | bus |  | was greeted with | be greet with | the same message | message | 
He | He | person:Pronoun | declined | decline | everyone 's money | money | 
the driver - ''blue-eyed | driver |  | politely blocked | block | the coin box | box | 
the driver - ''blue-eyed | driver |  | politely blocked the coin box with | block coin box with | his fist | fist | 
she | she | person:Pronoun | attempted | attempt | payment | payment | 
he | he | person:Pronoun | told | tell | her | she | person:Pronoun
you | you | person:Pronoun | need to ride | need to ride | this bus | bus | 
He | He | person:Pronoun | also urged | urge | them | they | person:Pronoun
He | He | person:Pronoun | also urged them to take | urge to take | transfers | transfer | 
